; VST3 Database (Format: Manufacturer | Plugin | ControlType | ParamDown | ParamUp = Path)
KORG | TRINITY | PC | 0 | 0 = C:\Program Files\Common Files\VST3\KORG\TRINITY.vst3\Contents\x86_64-win\TRINITY.vst3
KORG | TRITON | PC | 0 | 0 = C:\Program Files\Common Files\VST3\KORG\Contents\x86_64-win\TRITON.vst3
KORG | TRITON Extreme | PC | 0 | 0 = C:\Program Files\Common Files\VST3\KORG\TRITON_Extreme.vst3
KORG | WAVESTATION | PC | 0 | 0 = C:\Program Files\Common Files\VST3\KORG\WAVESTATION.vst3

Kushview | Element | NONE | 0 | 0 = C:\Program Files\Common Files\VST3\KV-Element.vst3\Contents\x86_64-win\KV-Element.vst3
KV331 Audio | SynthMaster Player | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\SynthMasterPlayer.vst3

Lostin70s | HaNonB70 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\HaNonB701.vst3
Lostin70s | KeysOfThe70s | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\KeysOfThe70s2.vst3

Plogue | sforzando | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\sforzando.vst3\Contents\arm64x-win\sforzando.vst3

Roland | EARTH Electric Piano | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\EARTH Electric Piano\EARTH Electric Piano.vst3
Roland | EARTH Piano | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\EARTH Piano\EARTH Piano.vst3
Roland | Galaxias | PC | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\GALAXIAS\Galaxias.vst3
Roland | ZENOLOGY | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\ZENOLOGY\ZENOLOGY.vst3

Roland Cloud | D-50 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\D-50\D-50(VST3 64bit).vst3
Roland Cloud | JD-800 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\JD-800\JD-800.vst3
Roland Cloud | JUNO-60 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\JUNO-60\JUNO-60(VST3 64bit).vst3
Roland Cloud | JUNO-106 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\JUNO-106\JUNO-106(VST3 64bit).vst3
Roland Cloud | JUPITER-4 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\JUPITER-4\JUPITER-4(VST3 64bit).vst3
Roland Cloud | JUPITER-8 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\JUPITER-8\JUPITER-8(VST3 64bit).vst3
Roland Cloud | JV-1080 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\JV-1080\JV-1080(VST3 64bit).vst3
Roland Cloud | JX-3P | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\JX-3P\JX-3P(VST3 64bit).vst3
Roland Cloud | PROMARS | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\PROMARS\PROMARS(VST3 64bit).vst3
Roland Cloud | SH-2 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\SH-2\SH-2(VST3 64bit).vst3
Roland Cloud | SH-101 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\SH-101\SH-101(VST3 64bit).vst3
Roland Cloud | SRX BRASS | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\SRX BRASS\SRX BRASS(VST3 64bit).vst3
Roland Cloud | SRX DANCE TRAX | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\SRX DANCE TRAX\SRX DANCE TRAX(VST3 64bit).vst3
Roland Cloud | SRX ELECTRIC PIANO | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\SRX ELECTRIC PIANO\SRX ELECTRIC PIANO(VST3 64bit).vst3
Roland Cloud | SRX KEYBOARDS | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\SRX KEYBOARDS\SRX KEYBOARDS(VST3 64bit).vst3
Roland Cloud | SRX ORCHESTRA | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\SRX ORCHESTRA\SRX ORCHESTRA(VST3 64bit).vst3
Roland Cloud | SRX PIANO 1 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\SRX PIANO 1\SRX PIANO 1(VST3 64bit).vst3
Roland Cloud | SRX PIANO 2 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\SRX PIANO 2\SRX PIANO 2(VST3 64bit).vst3
Roland Cloud | SRX STRINGS | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\SRX STRINGS\SRX STRINGS(VST3 64bit).vst3
Roland Cloud | SRX STUDIO | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\SRX STUDIO\SRX STUDIO(VST3 64bit).vst3
Roland Cloud | SRX WORLD | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\SRX WORLD\SRX WORLD(VST3 64bit).vst3
Roland Cloud | SYSTEM-1 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\SYSTEM-1\SYSTEM-1(VST3 64bit).vst3
Roland Cloud | SYSTEM-8 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\SYSTEM-8\SYSTEM-8(VST3 64bit).vst3
Roland Cloud | SYSTEM-100 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\SYSTEM-100\SYSTEM-100(VST3 64bit).vst3
Roland Cloud | TB-303 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\TB-303\TB-303(VST3 64bit).vst3
Roland Cloud | TR-606 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\TR-606\TR-606(VST3 64bit).vst3
Roland Cloud | TR-707 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\TR-707\TR-707(VST3 64bit).vst3
Roland Cloud | TR-727 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\TR-727\TR-727(VST3 64bit).vst3
Roland Cloud | TR-808 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\TR-808\TR-808(VST3 64bit).vst3
Roland Cloud | TR-909 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\TR-909\TR-909(VST3 64bit).vst3
Roland Cloud | XV-5080 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Roland\XV-5080\XV-5080(VST3 64bit).vst3

Spectrasonics | Omnisphere | PARAM | 45 | 44 = C:\Program Files\Common Files\VST3\Omnisphere.vst3\Contents\x86_64-win\Omnisphere.vst3
Xfer Records | Serum 2 | HOST | 0 | 0 = C:\Program Files\Common Files\VST3\Serum2.vst3\Contents\x86_64-win\Serum2.vst3
